label,text
Supply,"Happy Holidays to all 🎄

Available whole unit and private rooms. Pls message Eppie for more info. I can show you unit - by appointment only. 

1. Walk 3 blocks to Sjsu. 1 bed 1 bath unit. Available mid December.  $2200 plus utilities.  Up to 2 ppl ok. 
2. Private room with wood floors, ac units and weekly cleaners. Within 1 mile to Sjsu. Catch free shuttle on Spartan stadium  to Sjsu.  $995 & $1100 plus utilities.  
3. Walk to Sjsu. On S 7 and Martha St. 2 bed 2 bath. Available now. 3 blocks to Sjsu. $2500 plus utilities"
Supply,"______

Hello, I’m moving out of San Jose for a semester so I’m looking for someone to take over my lease at the Grad from Jan 1st-July 31st, for the 2024 spring semester. Only female. 
-2 minute walk to campus
-utilities included
-washer/dryer in unit 
-fully furnished 
-4 roommates 
-shared bedroom
-private bathroom
-clean, friendly roommates
-wifi included 
-all female 
Rent-$1,268
Amenities:
-pool and jacuzzi 
Grilling area/ patio
Dog park
-study rooms
Contact for more details: 213-703-8537 
Please text if I don’t answer"
Supply,"Available January 1st: Room for rent ~5 blocks from SJSU campus
- Deposit $500
- $1,050 for single or $1,250 for double
- Comes with front parking spot but gated parking also available ($20/mo)
- Laundry unit on site
- WiFi $25/month per person 
- Includes 1x/month cleaning fee of common areas 
- Utilities range ~$45-85/person 
- no smoking or vaping on premises, no pets 
- Furnished room (desk, chair, dresser, bed)
- Furnished living room & dining room and 1 bathroom shared with 1 male SJSU student"
Supply,"If the post is up its available
Available huge furnished master bedroom(14*14)+private bath and a huge walk in closet( 6*6) in 2b2b for short sublease at Arioso apartments

Available Jan 11 - Feb 20 
1900 pm

Fully furnished  (queen bed, desk, chair, tv, monitor, nightstands, piano, guitar)
in-unit washer dryer and cool/heating
Community has a gym and pool 
Right next to the grocery and 280 freeway. 
Covered Parking spot in underground garage available"
Supply,"Temporary accommodation available for a female in two sharing room in 2b2.5b at 101 San Fernando Apartments in San Jose from 26th December to 18th February.

Just in front of SJSU MLK library. Walking 2 minutes to SJSU Campus, all transportation like buses and light rails are walking 5 mins distance.

In-house Facilities : Washer and Dryer, Fridge, Dishwasher, Oven, Microwave Oven

Community Facilities : Club room, Gym, Lounge area. 
Rent - $650 + utilities"
Supply,"The Grad San Jose Sublet
88 E San Carlos St, San Jose, CA
 $1,687 / month 

Private room (Bedroom c) on the 17th floor with private bathroom located directly outside bedroom. 

Within 5 minute or less walking distance from SJSU. Fully furnished (full size bed, two dressers, and a desk/chair) with amenities/utilities included:
free gym, pool, jacuzzi, and yoga studio access
wifi
washer/dryer in unit
study rooms
barbecues
and dog park area

As I am already about half way through the years lease, move in time will be Mid December and the lease will be ending July 31st. This means the month of December will be covered by me in addition to the sublet fee 
Female only inquiries please! 
Feel free to message me with any questions!"
Supply,"______

Hello, I’m moving out of San Jose for a semester so I’m looking for someone to take over my lease at the Grad from Jan 1st-July 31st, for the 2024 spring semester. Only female. 
-2 minute walk to campus
-utilities included
-washer/dryer in unit 
-fully furnished 
-4 roommates 
-shared bedroom
-private bathroom
-clean, friendly roommates
-wifi included 
-all female 
Rent-$1,268
Amenities:
-pool and jacuzzi 
Grilling area/ patio
Dog park
-study rooms
Contact for more details: 213-703-8537 
Please text if I don’t answer"
Supply,"Permanent accommodation is available for 1 male at 500 Race Street in a master bedroom move in as soon as possible.

Rent is ~ $478 + utilities 
It is a 2 bed 2 bath apt.

Amenities - Gym, business center and many more.In-house washer/dryer, dishwasher, AC/heater.

🏡 Apartment: 2 Bed 2Bath
📍 Location: 500 Race Street
🚍 Bus and Light Rail (VTA): 1 min walk🚶
10 minutes on Light Rail to SJSU.
Facilities:
🥘 Fully Equipped Kitchen
🧺 In-house washer and dryer
🧽 Dishwasher
🏋️ Gym
Grocery stores:
🛒 Safeway : 5 minutes walk
And many more.

Contact for more details: Garry : +19529948686
Harsh:+5105985341"
Supply,"1 bedroom with private bathroom available for rent. Close to SJSU campus 19th and Fernando 
Rent 1000 utilities included"
Demand,"Looking for a private bedroom in San Jose/sunnyvale/willow glen/ south San Jose / Campbell area asap. Preferably with other females. My budget is max 1200 . I’m clean, respectful, considerate, and friendly."
Supply,Hey! Looking for someone to take over my lease till July of 2024. The house is one block away from the sjsu campus. It’s right next to the bus stop too. Looking for someone to move in preferably mid December but January works too. The rent is 1050 and comes with washer and dryer facilities.
Demand,Hello! My MALE friend is looking to take over someone’s lease for the spring semester at the grad. He would prefer a private bedroom and bath. Please lmk if you are reletting and the pricing 🙂
Supply,"hi all, i'm helping the owner to rent these units. Perfectly for SJSU students because it's just literally a couple of walks to the campus. Apply directly on Zillow or PM for a house tour! Cheers! 
"
Supply,"single room available for rent starting january 15 2024 
monthly rent is $1320 + utilities 
furnished room 
laundry on-site 
5 min drive to sjsu 20 min walk 
street parking available"
Supply,"Looking for housemate.  $1,200 + electric + internet(90). 
Move in date (1/1) flexible 

Your Space: 1B 1 shred bath + HUGE living room+ Balcony + gated parking + Street parking + Full access to kitchen.

My favorite part about building is how safe it is. Garage is locked by gate. The front entry way is key pad protected.

Nearby:
SJSU is a 2 min walk
San Pedro Square is 10 mins walk with several bars and restaurants.
280 are 1 min drive 101 and 87 are 5 mins drive and 880 is also about 5 mins drive.
Target. trader joes, whole foods, Safeway, sprouts  are all about 5-10 mins drive.o"
Supply,"______

Hello, I’m moving out of San Jose for a semester so I’m looking for someone to take over my lease at the Grad from Jan 1st-July 31st, for the 2024 spring semester. Only female. Shared bedroom 
-2 minute walk to campus
-utilities included
-washer/dryer in unit 
-fully furnished 
-4 roommates 
-private bathroom
-clean, friendly roommates
-wifi included 
-all female 
Rent-$1,268
Amenities:
-pool and jacuzzi 
Grilling area/ patio
Dog park
-study rooms
Contact for more details: 213-703-8537 
Please text if I don’t answer"
Supply,"Looking for a male housemate.
Private room available in a 2 bd 2 ba at the Meridian at Midtown Apartments. 
10 minutes drive and 25 minutes bus to SJSU Campus. 
3 mins walk to #23 and #523 bus stop.

Move-in date: Immediate move-in 

Shared kitchen with all and shared bathroom with one housemate.

💵 Rent: $1000 + Utilities + Deposit ($787.50)
Facilities: in-unit Laundry, 🏊 Swimming Pool, Gym, 🏓 Tatble Tennis, 😎 Recreation Room, 🍖 BBQ Area, 🚲 Bike Maintenance Station, 🕺 Club House"
Supply,Hi. Looking for rommate to share apt. Around $1200 per month. 1200 deposit
Unknown,
Supply,"Available December 1, 2023.   No need to look further!  Promo price valid through 12/11/23.

PRIVATE Remodeled Studio, with private kitchen, bath, entrance.  Great location - Walk to SJSU/Downtown San Jose. Parking and Internet Included.

For more information and online application at www.foxtenant.com

Online Application at www.foxtenant.com 
(Ignore $35 fee upon application.  Will be collected through PayPal after application review and qualification)

This is one of the NICEST and CLEANEST properties this CLOSE to San Jose State University and Downtown San Jose.

Yes, this beautiful studio may not be as large as your typical downtown high-density apartment complex, BUT this quality remodeled Private Victorian Studio offers a spacious, clean and modern living environment unlike others, and is just STEPS from the 7th Street entrance of San Jose State University campus.

This historic 1920's Victorian building has been beautifully restored and features all modern conveniences while retaining its original old world charm.

Each of the 5 units offer unique floorplans and features. All have new hardwood floors, tiled kitchen and bathroom floors, new fixtures and custom paints. All units have new copper water pipes and fixtures, so no more green nasty water. All units have new copper grounded electrical wiring and modern circuit breakers, so no more plugging in your equipment in ungrounded outlets and outdated unsafe electrical wiring. All kitchens and bathrooms have been updated with granite counters, stainless sink, stove, microwave and fridge/freezer. All units are wired for high-speed Internet (wired and wireless) and Comcast Cable TV. Landscaped front yard offers large shade trees, walking path, large patio/entry with wicker furniture, gated entry, motion activated flood lights, and 24/7 CCTV Security Cameras. One off-street parking space included.

Unit 4 -- 1Bed/1Bath/325sf/2nd Floor Corner/$1,795/mo + $55 service fee (wifi, plus all utilities excluding PG&E) + 1 Onsite Parking ( * Promo: Monthly rent is $,1795 with 12th month free which comes out to $ 1,649;/mo + $55/mo services fee for occupancy BEFORE 12/15/23)

Features:

- Completely remodeled studio/1 bath  apartment 2nd Floor Front

- Views from bright large windows on this 2nd story corner unit

- Approximately 325sf floorplan with private front/back entrance

- Efficient kitchen/dining area - New cabinets, granite counters, fridge/freezer

- New designer flooring and baseboar throughout

- Walk-in closet

- Ceiling Fan/Light

- Full kitchen with 4 burner gas stove/oven

- Refrigerator/freezer (new)

- New Microwave exhaust/hood

- New cabinets with Granite Counters glass tile backsplash

- Stainless Steel sink -- new fixtures

- Custom tiled showerpan with quartz shower panels and rainshower (new)

- New vanity/sink with designer mirror and built in medicine cabinet 

- New copper water pipes throughout

- New grounded copper outlets (GFCI where applicable)

- New breaker panel (no fuses)

- Wall heater with digital thermostat

- Lease: $ 1,649/mo promo pricing expires 10/31/23 and is valid with 12 month lease with move-in date of 11/1/23 or sooner.  Monthly lease will be $1,795 and 12 month will be free, which comes out to $1,649/mo.   A monthly services fee of $55/mo includes High-Speed Internet/ Wi-FI, water, garbage and one off-street parking) Tenant pays PG&E.  

$ 1,795/mo (12-month lease) plus $55/mo service fee (wifi/all utilities except PG&E) (If move in before 12/15/23 12th month is FREE which comes out to $1,649)

- Security Deposit: $ 1,795

- $35 credit application check/$110 annual renter's insurance premium at signing

- Rent includes: Garbage, Water, Sewer, High-Speed Internet (wired/wireless)

- Tenant pays own PG&E

- One off-street parking space available

- On-site laundry facility

* No Smoking/Drugs/Pets

Online Application:    www.foxtenant.com (click APPLY ONLINE at bottom)  $35 Application fee is not needed until we pre-approve your application and you confirm you wish to submit for final approval. If student, need to fill out cosigner information at the very end of application.

For more info send email or go to              www.foxinvestments.net

Thanks.
Fox Property Services"
Demand,"Looking for a single bd in San Jose or Santa Clara area. Budget is around $800-1000. GIRLS ONLY! Currently graduated and working full time. Preferred roommates are clean, friendly, and responsible. Move in date January 1st 2024."
Supply,"Permanent accommodation is available for 3 male or for 3 female Dec 1st at 500 Race Street in a master bedroom .

Rent is ~ $478 + utilities 
It is a 2 bed 2 bath apt.

Amenities - Gym, business center and many more.In-house washer/dryer, dishwasher, AC/heater.

🏡 Apartment: 2 Bed 2Bath
📍 Location: 500 Race Street
🚍 Bus and Light Rail (VTA): 1 min walk🚶
10 minutes on Light Rail to SJSU.
Facilities:
🥘 Fully Equipped Kitchen
🧺 In-house washer and dryer
🧽 Dishwasher
🏋️ Gym
Grocery stores:
🛒 Safeway : 5 minutes walk
And many more.

Contact for more details: Garry : +19529948686
Harsh:+5105985341"
Supply,Private bedroom available in Santa Clara for $1100 + utilities
Supply,"Looking for someone to replace me starting January!
Shared room for $485, female only.

Place is 5 minute walk from campus! And roommates are very nice. Right next to Antojitos and Spartan Tacos!

Please let me know ASAP!!!"
Supply,Spot available. Girls only. Move in asap
Supply,"Hi there! I am currently looking for a female to take over the remainder of my lease at The Grad in San Jose for the entire spring 2024 semester (January-July) and the lease ends July 31st.  -Price (exact per month): $1719.95 (including parking), $1539.95 (without parking)
- This cost includes base rent ($1527), mitigated risk fee ($12.95), and optional parking fee ($180)
- a one-time fee of $60 will be charged your first month to cover utilities
- private room with a private bathroom detached (across the hallway)
- I live with 3 other girls who also have their own private bathrooms and bedrooms
- My roommates are friendly and clean
- Fully furnished room (bed, desk, dresser)
- Fully furnished living space (couch, TV, table)
- All kitchen appliances included (microwave, oven, stove, dishwasher)
- Great amenities (gym, pool, rec room, yoga studio)
- Walking distance from SJSU campus (1 minute)
- Washer and dryer in unit
- Walk-in closet in the room
- D5 floor plan
- Low floor level
Let me know if you are interested/have any questions!"
Demand,"Looking for a single bd and bathroom in San Jose or Cambell area. Budget is around $1300-1500. GIRLS ONLY! Currently graduated and working full time. Preferred roommates are clean, friendly, and responsible. Hoping to move in around January 1st 2024."
Supply,"Available private bedrooms for Rent. Month to Month or long-term rent. Single female student only. Share bathroom with other two female students. Distance 4.24 miles from San Jose State University.  No pets, no Smoking or any illegal drugs.1.2 Gb Wi-Fi included. Full kitchen access. Cloth Washer and Dryer available in the house. Ample parking on the street and driveway. Close to Library. Available to view and rental on Friday, December 22, 2023.
Rent is $820 + $80 for utilities +$300 security deposit to move in.
If interested, please text me at 408-393-4743 – Bob."
Supply,Hey! Looking for someone to take over my lease till July of 2024. The house is one block away from the sjsu campus. It’s right next to the bus stop too. Looking for someone to move in preferably mid December but January works too. The rent is 1050 and comes with washer and dryer facilities.
Supply,"Seeking for female roommate!!!

I am now moving out from my room and My roommate are now looking for female roommate from 19 Dec 2023 to April 2024. Our room single bedroom and living room, 5 mins drive from SJSU campus. The price is around 1200-1400. Please feel free to contact me if you interested."
Supply,"Permanent accommodation is available for 3 male from Dec 1st at 500 Race Street in a master bedroom .

Rent is ~ $478 + utilities 
It is a 2 bed 2 bath apt.

Amenities - Gym, business center and many more.In-house washer/dryer, dishwasher, AC/heater.

🏡 Apartment: 2 Bed 2Bath
📍 Location: 500 Race Street
🚍 Bus and Light Rail (VTA): 1 min walk🚶
10 minutes on Light Rail to SJSU.
Facilities:
🥘 Fully Equipped Kitchen
🧺 In-house washer and dryer
🧽 Dishwasher
🏋️ Gym
Grocery stores:
🛒 Safeway : 5 minutes walk
And many more.

Contact for more details: Garry : +19529948686
Harsh:+5105985341"
Unknown,
Supply,Hey! Looking for someone to take over my lease till July of 2024. The house is one block away from the sjsu campus. It’s right next to the bus stop too. Looking for someone to move in preferably mid December but January works too. The rent is 1050 and comes with washer and dryer facilities.
Supply,"Hi everyone,

Looking for someone to take over my lease at Monterey Grove Apartments in San Jose starting in January. Private bedroom in a 3 bed 3 bath apartment with two other male roommate. 

Rent: $1272/month 
January (date flexible) - June 2024

- Located 15 minutes from SJSU
- bedroom with a private detached
 bathroom 
- Dishwasher & in-unit laundry
- Shared wifi + PG&E split with roommate
- Gym, pool
- Parking space 

Message me if you’re interested or have any questions!"
Demand,"Hello. I am looking for room. Around $700-800
Asap."
Demand,"Hey everyone,

I am looking to subleasing a private bedroom near SJSU, preferably starting from the last week of December.
If you have any availability or know of anyone who might be subletting a room, please let me know. I would be grateful for any leads. Thanks."
Supply,"Hi everyone! I am looking for someone to fill in my lease at 27 North beginning during the spring semester (Anytime after Dec20). The floorplan is attached below. There are currently 2 people living in one room and one in the other. (all women, students at SJSU).

This means if you are looking for a shared bedspace and bathroom for aprx 1100/month (1070 base + elec) which is a 7-12min walk from campus, this would be a great place for you! 

The apartment comes with a bed, walk-in closet, desk, and storage compartments. There is a shared TV in the living room, in-unit washer and dryer, a fully furnished kitchen, and a pool, lounge, game room, and gym to take advantage of throughout your duration there!

Please message me if you are interested or with any questions asap!!😄"
Supply,"$1,250/mo_Master Bedroom with private bath in Downtown San Jose. The house is located 3 blocks from SJSU and close to the downtown social scene. The residents are currently all female. House includes the following:
Central Heating/Cooling
In-house Laundry
Monthly Cleaners
Fiber Internet
Large Common Areas
The room is available now. Reach out through FB or the Craigslist ad. See Ad for photos.
"
Supply,"Hey all!
ONLY FOR FEMALES
Accommodation available in Master bedroom in *Sunnyvale*. It is 2b2b apartment and my current roommate is moving out. The apartment has all the amenities except for laundry, which is in the community. There is a swimming pool and game room in the community.

I’m a clean, vegetarian, non-drinker, and non-smoker and expect the same from my roommate.

- Move-in date: Immediate(flexible).
- Rent: $1450 + utilities which includes PG&E and Wifi (≈$50)
The location is really great and walkable from a lot of stores (CVS, Dollar Tree, Ross, Safeway, Sprouts and a lot more) and 5 mins away from the bus stop.

https://www.facebook.com/marketplace/item/2763615087149688/?mibextid=6ojiHh"
Supply,"Temporary accommodation  available for  girls in a two sharing bedroom at Avalon at Cahill park ( 754 the alameda). 2 girls can share or a single person can take a private room as well.
Dates : 25th Dec to 25th Jan(flexible)
Amenities - safe locality, Gym, common lounge area, In-house washer/dryer, dishwasher, AC/heater, Apartment WiFi, grocery store near by, etc. 

🚍 Bus and Light Rail (VTA): 1 min walk

Contact for more details.
Yuti: +1 (669)786-8890 
Shreya: +1(408)690-5849"
Supply,"Permanent accommodation is available for 2 male from Dec 1st at 500 Race Street in a bedroom where you will share the master bedroom room with 1 other male.
Rent is ~ $478 + utilities 
It is a 2 bed 2 bath apt.

Amenities - Gym. In-house washer/dryer, dishwasher, AC/heater.

🏡 Apartment: 2 Bed 2Bath
📍 Location: 500 Race Street
🚍 Bus and Light Rail (VTA): 1 min walk🚶
10 minutes on Light Rail to SJSU.
Facilities:
🥘 Fully Equipped Kitchen
🧺 In-house washer and dryer
🧽 Dishwasher
🏋️ Gym
Grocery stores:
🛒 Safeway : 5 minutes walk
And many more.

Contact for more details: +1 9529948686"
Supply,"Permanent accommodation is available for 2 male from Dec 1st at 500 Race Street in a bedroom where you will share the master bedroom room with 1 other male.
Rent is ~ $478 + utilities 
It is a 2 bed 2 bath apt.

Amenities - VTA bus stop is 1 min walk from the apartment, Gym. In-house washer/dryer, dishwasher, AC/heater.

🏡 Apartment: 2 Bed 2.5 Bath
📍 Location: 500 Race Street
🚍 Bus and Light Rail (VTA): 1 min walk🚶
10 minutes on Light Rail to SJSU.
Facilities:
🥘 Fully Equipped Kitchen
🧺 In-house washer and dryer
🧽 Dishwasher
🏋️ Gym
Grocery stores:
🛒 Safeway : 5 minutes walk
And many more.

Contact for more details: +1 9529948686"
Supply,"Looking for someone (masc-presenting preferred) to take over lease at The Grad apartments one block from campus starting January 2024!

Rent is $2,073 a month (includes all utilities water/gas/electric/internet).

Room is a 9th-floor corner suite (2 bed, 2 bath), furnished living room, full size kitchen (full-size fridge, electric stove, oven, dishwasher), and in-unit washer/dryer.

Private bedroom contains desk, chair, and Full-XL bed. You will have one roommate (male) who has their own private room and bathroom.

Apartments on the corner of E San Carlos and Third Street, 1 minute away from campus, nearby restaurants include Lee's, Pizza My Heart, Boba Bar, Ding Tea, La Victoria, and Jack in the Box.

Amenities include:
* Yoga Room
* Fitness Center
* Computer Lab/Business Center
* Study Rooms on Each Floor
* Pool
* Grills
* Multi-Purpose Room
* High-Speed Wifi Throughout the Building

Message me if you're interested!"
Supply,"🏠 Month-to-Month lease accommodation Available 
📅  Available from Dec 1 
📍 887 Sakura Dr, San Jose, CA 95112

Attention all!

Looking for single occupant in our spacious Town House located at Sakura Dr, San Jose, CA.  

ℹ️ Room Details:

Room with personal bathroom (double occupancy)

Preferred roommate: Single occupant (male) 
Rent: $625 per month (sharing) + utilities
Deposit required, required to be on the lease 

House Information:
🏡 3 bedrooms and 3 bathrooms
👥 All roommates are NEU students
We are a mixed gender house!

If you're interested in this accommodation opportunity, please don't hesitate to reach out to me:
Sai - +16692783716

Zillow link to listing (for pics): https://www.zillow.com/homedetails/887-Sakura-Dr-San-Jose-CA-95112/69301983_zpid/
This is a great chance to live in a comfortable townhouse with like-minded individuals. Act fast to secure your spot!"
Supply,"Permanent accommodation is available for 1 female from Dec at 33 South Third in a bedroom where you will share the room with two other girls
Rent is ~540$
It is a 2 bed 2.5 bath townhouse

Amenities - The apartment is right in front of the university. VTA bus stop is 1 min walk from the apartment, Gym. In-house washer/dryer, dishwasher, AC/heater.

🏡 Apartment: 2 Bed 2.5 Bath
📍 Location: 33 South Third Street
🚍 Bus and Light Rail (VTA): 1 min walk
🚶Right in front of SJSU university
Facilities:
🥘 Fully Equipped Kitchen
🧺 In-house washer and dryer
🧽 Dishwasher
🏋️ Gym
Grocery stores:
🛒 Bargain: 5 mins walk
🏢 SJSU: 2 mins walk

Contact for more details: +1 425 956 4125"
Supply,"Hi there! I urgently need a female to take over the remainder of my lease at The Grad in San Jose for the entire spring 2024 semester (January 1st -July 31st) and the lease ends July 31st.  
-Price (exact per month): $1691.95
- This cost includes base rent ($1629), mitigated risk fee ($12.95), and premium bedroom fee ($50)
- a one-time fee of $60 will be charged your first month to cover utilities
- Premium bedroom (bedroom and bathroom are connected)
- I live with 3 other girls who also have their own private bathrooms and bedrooms
- My roommates are very friendly, sweet, and clean
- Fully furnished room (bed, desk, dresser)
- Fully furnished living space (couch, TV, table)
- All kitchen appliances included (microwave, oven, stove, dishwasher)
- Great amenities (gym, pool, rec room, yoga studio)
- Walking distance from SJSU campus (1 minute)
- Washer and dryer in unit
- Walk-in closet in the room
- D2 floorplan with bedroom D
- Low floor level

Please message me with serious inquiries only"
Supply,"Move out Sale:

Floor lamps for set of 2 for $10 each and $5
Table for $20
Garment rack with storage for $25
All in new condition"
Supply,"Accomodation available for 2 in Avalon at the Cahill park.

Address: 754 The Alameda, San Jose, 95126 

Rent: 520+ utilities

Contact: 6699779258"
Unknown,
Supply,"Master Bedroom with private bathroom in all-female household. 3 blocks to SJSU. Pictures and price in CL ad. 
Fiber Internet
Monthly Cleaners
Central Heating/cooling
Laundry in-house
Large Common Areas
See craigslist ad for more info and pictures. "
Supply,"Private room for rent! (flexible move-in date)
$1000/month plus PGE (around $1050/mon)
Location: San Jose 95116 - 15 mins driving distance to SJSU or 5 mins walk to bus 23
-Looking for a male/female housemate to occupy a private room in 3b1b upstairs(current roommate is male and occupies two rooms with a cat, we are looking for a respectful and clean person to take a private room). You will be only sharing a bathroom with one person
-Rent is a month-to-month lease, with a minimum 6 month lease
-Shared utilities (internet and water included, electricity excluded)
-Washer & Dryer, monthly cleaning service included
-we have two spots in the garage and spots on the driveway for parking. Street parking is also available
-no additional pet, and no shared room
-Size: 9x11
pm me for further details"
Supply,"Urgently looking for a FEMALE to take over my lease at the grad from JAN 1st-JULY 31st.
-Price (exact per month): $1691.95
- This cost includes base rent ($1629), mitigated risk fee ($12.95), and premium bedroom fee ($50)
- a one-time fee of $60 will be charged your first month to cover utilities
- Premium bedroom (bedroom and bathroom are connected)
- I live with 3 other girls who also have their own private bathrooms and bedrooms
- My roommates are very friendly, sweet, and clean
- Fully furnished room (bed, desk, dresser)
- Fully furnished living space (couch, TV, table)
- All kitchen appliances included (microwave, oven, stove, dishwasher)
- Great amenities (gym, pool, rec room, yoga studio)
- Walking distance from SJSU campus (1 minute)
- Washer and dryer in unit
- Walk-in closet in the room
- D2 floorplan with bedroom D
- Low floor level
!!Serious inquiries only!!"
Supply,"Looking for someone to take my place for January (female only please). 

Rent: $485 + utilities it's about $500 total

It's very close to campus 5-10 min walk (depending how fast you walk) and right next to Antojitos! 

3 very nice girls (Your roommate is super sweet). Your room is shared.

Let me know if you're interested!"
Supply,https://sfbay.craigslist.org/sby/roo/d/san-jose-room-for-rent-down-town-san/7686444092.html
Supply,"Looking for a student or young professional!

We are offering a **PRIVATE bedroom and bathroom available at the start of December **in a 3BR, 3BA house with two other people for lease!

It is available for **$1100, utilities included (plus ~$20 for wifi)**

Amenities:
* Your own private bedroom & bathroom
* 20 minute walk, 5 minute bike/drive to sjsu
* Attached coin laundry/dryer
* One block away from the beautiful shops in [Japantown](https://www.facebook.com/Japantown-116101248404294/?__cft__%5B0%5D=AZVDgW9FJxeSMhMgLD7vbIcLm-ZkNMrhQxgwxnk5rLCpmlgIK7wszqSfAKD7xxbycDy4pY4pP5CfUHi4EgSC9ywz5E_VIOmnTbJZQp4Yq7Co5XC7LVXoCnP4hf-ad2It4pdgc0Cg8hqJPEFeYjUZTHVI&__tn__=kK-R)
* Furnished room (mattress + desk), living, & dining room
* State of the art kitchen
* Central Heating/AC
* Spacious private backyard
* Garage with plenty of storage

If you have any questions, please let me know!"
Supply,looking for 2 housemates to rent out 4 bedroom house with us 10 min away from sjsu hmu for more details!
Supply,
Supply,"Looking for a female to take over the remainder of my lease at the The Grad San Jose from Jan 1st-July 31st 2024. 

Please message me for details!"
Demand,"Hi everyone,  I am helping my friend who is looking for housing. She is a student and would like to live in an lgbt friendly household. Her budget for a single room Is 1300 maximum. Let me know if you are interested, thanks!"
Supply,"*LOOKING/AVAILABLE 

Hi everyone! I'm posting again on behalf of my roommate who is moving out in December. I am looking for someone new to move in toward the end of November/beginning of December. Girls ONLY please. 

We're located just 7-10 minutes walking distance from campus on South 4th Street by the freeway entrance and the Spartan Gas Station. This is for a SHARED room, rent is $600 a month plus utilities, which are split evenly. 

Unfortunately, there are no extra parking spaces. We are alcohol and 420 friendly! If you're interested feel free to send me a message telling me a little about yourself. :)"
Supply,"Large master bedroom with private bathroom opening up Dec. 1st, 2023. 3 blocks to SJSU and downtown. The house is all female.

Amenities include:

-Central Heating/Cooling
-Monthly Cleaning 
-Large Common Spaces and Kitchen 
-In-house, free laundry
-Fiber internet
-Utilities manage by landlord

Check out the craigslist ad for more details

"
Supply,"Private room for rent

The LEX San Jose, California 95123
5560 Lexington Ave. Unit 230 San Jose CA 95123
Hey students,

I'm looking for a roommate to occupy the other bedroom of my 2b2b apartment at the the Lex, San Jose, CA 95123. Monthly rent is $3500 and your share will be $1700( including PG&E utilities, AT&T wifi & Conservice water). This is a split bedroom floor plan(rooms are separated by the living room) and is a well-lit, spacious unit. You will have a walk-in closet and your private patio. The swimming pool is in front of the apartment and overall this community is quiet and peaceful!

This apartment is equipped with:
Oven
Dishwasher
In unit Laundry
Refrigerator
Microwave Oven
Air-conditioning
Parking is $30 extra 
NEST thermostats 
Walk in closet 
Game room 
Pool/jacuzzi 
Study/ office room with TV 
24/7 gym & yoga space 

I am looking for someone(preferably working young professionals) to move-in around Nov 5th-20th. I am happy to set up a virtual or in-person tour if you're interested.

Looking forward in interviewing candidates ,"
Demand,"Hello everyone I will be attending SJSU for the Spring 2024 semester!
I’m one that values communication, respect, and open-mindedness. 

Some stuff about me:
- transfer student studying Communications
- I can speak 4 languages (kinda lol)
- I’m into film photography, guitars, martial arts, video games, and traveling (best place I went to was Japan!)

Hoping to move in the beginning of January and stay around the $900 range but I can make some adjustments if needed. 
 
Don’t hesitiate to message me if you have any more questions :)"
Supply,"Private room for rent

Cunningham Lake Ct, San Jose, CA 95148, United States

Renting out ONE 100 SQ FT. new renovated bedroom in East Side San Jose. Prefer quiet and responsible students or young professionals. 1000$

All Utilities Included (Internet, Electricity, Water)
Dryer and Washer at house too. Kitchen and fridge are available for use, with dedicated parking space.
 
Must be okay with sharing a new renovated bathroom with current female tenant. 

Parents will be in master bedroom.

-10-15 Minute drive to SJSU.
-2 minutes away from Eastridge, Safeway and In-N-Out.
-Quiet and safe neighborhood 
-24 Hour fitness 2 minutes away
-Great Latino and Asian Food in Area

Must be okay with dogs (they will be in the backyard mostly)

Move in date ASAP See less"
Unknown,
Supply,"Room in a 4 bedroom Sunnyvale house available now.
You would be taking over my spot on the lease, which ends on April 30th, 2024, at which point you would have the choice to renew for another year or not.
Rent is $1065, plus utilities.  Utilities are usually $100-200 a month.  1037 Cassia Way.
You would be living with 3 male tech workers aged late 20's - late 30's.  You would share 1 bathroom with 3 people, as the other bathroom is in the master bedroom.
Security deposit is $1000.
About the place: Located in Sunnyvale in the Ponderosa Park neighborhood. It has a big backyard and a front yard. 2 parking space in driveway and ample free parking space on the street. Huge kitchen and living area space. Central heating and cooling In house laundry. 5 min. walk from VTA bus stop, 10 min walk from Lawrence Caltrain Station. 3 min drive to Costco Sunnyvale"
Supply,"Looking for a single renter to take over friends room (co-ed housing) 
Sorry no couples. 

Available Nov 1 
1 private room/private bath and a small walk in closet
6.5miles from SJSU $1250 rent without utilities

- Located in a quiet Santa Clara neighborhood 
- Close to freeway exits 
- Lots of street parking infront of home/garage parking
- Co-Ed housing 
- Non-smoking/drug free home 

Current roommates:
- sjsu/sdsu/riverside alumnus
- Early-late 20s 
- Working professionals 
- Super tidy and respectful 

Please message me if you are interested! Can provide more information and photos 😊"
Demand,"SERIOUS INQUIRIES ONLY

hey guys!! we are still looking for one last girl to join our group and look for places together!! we are hoping for a december move in and would really like to have a solidified committed group in the next week or so. there are three of us so far and we are looking at houses in the campbell/san jose area(not downtown). we have individual budgets of around 1000-1200 each and are hoping to find someone with a similar budget!! we also have a cat that will be moving to the house with us and he is the sweetest boy. if anyone is *seriously* interested please please hmu!! 

a little about me: i’m a 5th year molecular biology major and I’m graduating this spring (yay)!! in my free time i love going on hikes, seeing live music, and doing fun activities with my friends. we all really want to be friends with each other and have a comfortable living situation."
Supply,private room for rent available December 15 at north park apartments near Baypointe. Females preferred. Message me for more details!
